Inv. Nr.,Stadtmuseum ID,Link,Inv.-Nr.,Bild,Titel,Maße,Höhe,Breite,Tiefe,Unit,Material,Material Wikidata ID,Datierung in mya,Erdzeitalter,Erdzeitalter Wikidata ID,Herkunft,Herkunft Koordinate,Herkunft Wikidata ID,Herkunft Geoname ID,Fundort,Fundort Koordinate,Fundort Wikidata ID,Fundort Geoname ID,Kommentar,
SM 2012-1572,424542,https://sammlung-online.stadtmuseum.de/index.html?objektid=424542,SM-2012-1572,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1572.jpg,"Kalmarsund-Sandstein, quarzitisch","H: 5,40 cm, B: 13,70 cm, T: 11,60 cm","5,4","13,7","11,6",cm,Sandstein,Q13085,540,Kambrium,Q79064,"Kalmarsund, Schweden",,Q784269,2702257,Rügen,,Q3237,2843325,"Der Kalmarsund-Sandstein ist ein Leitgeschiebe aus dem Kalmarsund, Schweden. Sein Alter beträgt ca. 540 Millionen Jahre (tiefes Unterkambrium). Kennzeichnend ist seine auffallende Streifung, die nicht der Schichtung folgt, sondern auf Oxidation und Ausfällung von Brauneisen während der Ablagerung zurückgeht. Bei diesem Stück erkennt man gut, dass die Schichtungsebene nicht der Ausfällungsebene entspricht.","16,23"
SM 2012-1573,424543,https://sammlung-online.stadtmuseum.de/index.html?objektid=424543,SM-2012-1573,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1573.jpg,"Chiasma-Sandstein, quarzitisch","H: 11,40 cm, B: 13,50 cm, T: 15,10 cm","11,4","13,5","15,1",cm,Sandstein,Q13085,540,Kambrium,Q79064,"Kalmarsund, Schweden",,Q784269,2702257,Kiesgrube in Brandenburg,,,2945356,"Der Chiasma-Sandstein ist ein Leitgeschiebe aus dem Kalmarsund, Schweden. Sein Alter beträgt ca. 540 Millionen Jahre (tiefes Unterkambrium). Kennzeichnend ist seine auffallende, sich überkreuzende Streifung, die nicht der Schichtung folgt, sondern auf Oxidation und Ausfällung von Brauneisen während der Ablagerung zurückgeht. Bei diesem Stück erkennt man gut die Schichtungsebene sowie die beiden sich durchkreuzenden Ausfällungsebenen.","16,23"
SM 2012-1574,424544,https://sammlung-online.stadtmuseum.de/index.html?objektid=424544,SM-2012-1574,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1574.jpg,"Kalmarsund-Sandstein, quarzitisch","H: 2,10 cm, B: 9,00 cm, T: 5,00 cm","2,1",9,5,cm,Sandstein,Q13085,540,Kambrium,Q79064,"Kalmarsund, Schweden",,Q784269,2702257,Berlin-Frohnau,,Q641467,2924302,"Der Kalmarsund-Sandstein ist ein Leitgeschiebe aus dem Kalmarsund, Schweden. Sein Alter beträgt ca. 540 Millionen Jahre (tiefes Unterkambrium). Kennzeichnend ist seine auffallende Streifung, die nicht der Schichtung folgt, sondern auf Oxidation und Ausfällung von Brauneisen während der Ablagerung zurückgeht.","16,23"
SM 2012-1575,424545,https://sammlung-online.stadtmuseum.de/index.html?objektid=424545,SM-2012-1575,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1575.jpg,"Kalmarsund-Sandstein, quarzitisch","H: 5,00 cm, B: 9,20 cm, T: 7,60 cm",5,"9,2","7,6",cm,Sandstein,Q13085,540,Kambrium,Q79064,"Kalmarsund, Schweden",,Q784269,2702257,Kiesgrube Hohensaaten,"52.886525, 14.139851",,,"Der Kalmarsund-Sandstein ist ein Leitgeschiebe aus dem Kalmarsund, Schweden. Sein Alter beträgt ca. 540 Millionen Jahre (tiefes Unterkambrium). Kennzeichnend ist seine auffallendeStreifung, die nicht der Schichtung folgt, sondern auf Oxidation und Ausfällung von Brauneisen während der Ablagerung zurückgeht. Diese Stück zeigt sehr ausgeprägte Bänderungen in verschiedenen Richtungen.","16,23"
SM 2012-1576,424546,https://sammlung-online.stadtmuseum.de/index.html?objektid=424546,SM-2012-1576,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1576.jpg,Rispebjerg-Sandstein,"H: 5,90 cm, B: 11,20 cm, T: 8,40 cm","5,9","11,2","8,4",cm,Sandstein,Q13085,520,Kambrium,Q79064,Schonen,,Q180756,,"Wollin, Polen",,Q148505,3081472,"Der Rispebjerg-Sandstein ist ein Geschiebe aus Schonen, Schweden. Sein Alter beträgt ungefähr 520 Millionen Jahre (oberes Unterkambrium). Es handelt sich um einen unreinen Sandstein mit Glaukonit (grün) und Phosphorit-Knollen (schwarz). Die Schichtung ist weitgehend durch wühlende Organismen verwischt (Bioturbation).","9,23"
SM 2012-1577,424547,https://sammlung-online.stadtmuseum.de/index.html?objektid=424547,SM-2012-1577,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1577.jpg,"Unreiner Sandstein, Norretorp-Formation","H: 4,30 cm, B: 10,00 cm, T: 6,90 cm","4,3",10,"6,9",cm,Sandstein,Q13085,525,Kambrium,Q79064,"Norretorp, Schweden oder Bornholm, Dänemark","55.636372, 13.699588",,,Kiesgrube Gusow,"52.565067, 14.324610",,,"Der Sandstein der Norretorp-Formation ist ein seltenes Geschiebe aus Norretorp, Schweden sowie von Bornholm. Sein Alter beträgt rund 525 Millionen Jahre (höheres Unterkambrium). Es handelt sich um einen grünen, undeutlich geschichteten Sandstein mit Glaukonit, groben Quarzkörnern und Phosphoriten, der von horizontalen Wühlspuren durchsetzt ist.","9,23"
SM 2012-1578,424548,https://sammlung-online.stadtmuseum.de/index.html?objektid=424548,SM-2012-1578,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1578.jpg,Unreiner glaukonitischer Sandstein,"H: 3,90 cm, B: 15,50 cm, T: 9,60 cm","3,9","15,5","9,6",cm,Sandstein,Q13085,525,Kambrium,Q79064,"Schonen, Schweden oder Bornholm, Dänemark","55.403528, 14.554462",,,Kiesgrube Hohensaaten,"52.886525, 14.139851",,,"Der Sandstein ist ein Geschiebe aus Schonen oder von Bornholm. Sein Alter beträgt ungefähr 525 Millionen Jahre (höheres Unterkambrium). Der Stein enthält Glaukonit, Biotit und Phosphorit und entspricht zeitlich der Rispebjerg- oder Norretorp-Formation aus Schonen, Schweden.","9,23"
SM 2012-1579,424549,https://sammlung-online.stadtmuseum.de/index.html?objektid=424549,SM-2012-1579,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1579.jpg,Unreiner Sandstein mit Wühlspuren,"H: 2,10 cm, B: 9,40 cm, T: 8,60 cm","2,1","9,4","8,6",cm,Sandstein,Q13085,525,Kambrium,Q79064,"Norretorp, Schweden oder Bornholm, Dänemark","55.636372, 13.699588",,,"Klein Waabs, Eckernförder Bucht","54.532927, 9.987563",,,"Der Sandstein der Norretorp-Formation ist ein seltenes Geschiebe aus Norretorp, Schweden sowie von Bornholm. Sein Alter beträgt rund 525 Millionen Jahre (höheres Unterkambrium). Es handelt sich um einen grünen, undeutlich geschichteten Sandstein mit Glaukonit, groben Quarzkörnern und Phosphoriten, der von horizontalen Wühlspuren durchsetzt ist.","9,23"
SM 2012-1580,424550,https://sammlung-online.stadtmuseum.de/index.html?objektid=424550,SM-2012-1580,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1580.jpg,"Unreiner Sandstein, Norretorp-Formation (?)","H: 8,00 cm, B: 11,70 cm, T: 7,20 cm",8,"11,7","7,2",cm,Sandstein,Q13085,525,Kambrium,Q79064,"Norretorp, Schweden oder Bornholm, Dänemark","55.636372, 13.699588",,,"Klein Waabs, Eckernförder Bucht","54.532927, 9.987563",,,"Der Sandstein der Norretorp-Formation ist ein seltenes Geschiebe aus Norretorp, Schweden sowie von Bornholm. Sein Alter beträgt rund 525 Millionen Jahre (höheres Unterkambrium). Es handelt sich um einen grünen, undeutlich geschichteten Sandstein mit Glaukonit, groben Quarzkörnern und Phosphoriten, der von horizontalen Wühlspuren durchsetzt ist. Abweichend von der klassischen Ausprägung zeigt dieses Stück eine Zone mit unzerstörter, sehr glaukonithaltiger Schichtung. Darüber und darunter ist das Gefüge durch Bioturbation (Wühlspuren) gestört. Die Zuordnung zur Norretorp-Formation ist nicht sicher.","9,23"
SM 2012-1582,424552,https://sammlung-online.stadtmuseum.de/index.html?objektid=424552,SM-2012-1582,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1582_MichaelSetzpfandt.jpg,Konglomeratischer Kalmarsund-Sandstein,"H: 7,00 cm, B: 28,00 cm, T: 20,60 cm",7,28,"20,6",cm,Sandstein Konglomerat,Q13085,570-550,Kambrium,Q79064,"Kalmarsund, Schweden",,Q784269,2702257,"Niemegk, Fläming","52.076408, 12.702433",,,"Der konglomeratische Sandstein ist ein Geschiebe aus dem Kalmarsund, Schweden. Das Gestein stammt aus dem untersten Basiskonglomerat des Kalmarsund-Sandsteins und markiert die Grenze zwischen Präkambrium und Kambrium (ca. 570 - 550 Mio. Jahre). Kennzeichnend für den Kalkmarsund-Sandstein ist seine auffallende, sich teilweise überkreuzende Streifung, die nicht der Schichtung folgt, sondern auf Oxidation und Ausfällung von Brauneisen während der Ablagerung zurückgeht.","9,23"
SM 2012-1583,424553,https://sammlung-online.stadtmuseum.de/index.html?objektid=424553,SM-2012-1583,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1583.jpg,Skolithos-Sandstein,"H: 12,00 cm, B: 18,80 cm, T: 19,30 cm",12,"18,8","19,3",cm,Sandstein,Q13085,570,Kambrium,Q79064,"Kalmarsund, Schweden oder Schonen, Schweden","56.694934, 15.581683",,,Rüdersdorf bei Berlin,"52.481215, 13.805381",,,"Der Skolithos-Sandstein mit violetten Röhren ist ein Geschiebe aus Schweden (Schonen und Kalmarsund). Das Gestein beinhaltet die ältesten Spurenfossilien, die in Deutschland zu finden sind. Es handelt sich um senkrecht zur Schichtung stehende, parallele, unverzweigte, 2-4 mm dicke Wohnröhren eines wurmartigen Tieres. Die Röhren wurden nicht ins Sediment gegraben sondern wuchsen angepasst an die Sedimentationsrate kontinuierlich nach oben. Vermutlich sind Skolithos-Sandsteine mit violetten Wohnröhren älter als solche mit hellen Röhren. Ihr Alter beträgt ca. 570 Millionen Jahre (Eokambrium). Die violette Färbung der Wohnröhren entstand durch Infiltration von Eisenoxiden.","9,23"
SM 2012-1584,424554,https://sammlung-online.stadtmuseum.de/index.html?objektid=424554,SM-2012-1584,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1584.jpg,Skolithos-Sandstein,"H: 11,00 cm, B: 20,00 cm, T: 11,00 cm",11,20,11,cm,Sandstein,Q13085,570,Kambrium,Q79064,"Kalmarsund, Schweden oder Schonen, Schweden","56.694934, 15.581683",,,Kiesgrube Rethwisch bei Möllenhagen,"53.505815, 12.897694",,,"Der Skolithos-Sandstein ist ein Geschiebe aus Schweden (Schonen und Kalmarsund), eventuell auch aus Estland. Das Gestein beinhaltet die ältesten Spurenfossilien, die in Deutschland zu finden sind. Es handelt sich um senkrecht zur Schichtung stehende, 2-4 mm dicke Wohnröhren eines wattwurmartigen Tieres. Vermutlich sind Skolithos-Sandsteine mit violetten Wohnröhren älter als solche mit hellen Röhren. Ihr Alter beträgt 570 Millionen Jahre (Eokambrium). Die violette Färbung der Wohnröhren entstand durch Infiltration von Eisenoxiden.","9,23"
SM 2012-1585,424555,https://sammlung-online.stadtmuseum.de/index.html?objektid=424555,SM-2012-1585,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1585.jpg,Skolithos-Sandstein,"H: 11,00 cm, B: 21,50 cm, T: 11,10 cm",11,"21,5","11,1",cm,Sandstein,Q13085,550-540,Kambrium,Q79064,"Kalmarsund, Schweden oder Schonen, Schweden","56.694934, 15.581683",,,Hoher Fläming,,,2901248,"Der Skolithos-Sandstein ist ein Geschiebe aus Schweden (Schonen und Kalmarsund), eventuell auch aus Estland. Sein Alter beträgt 550-540 Millionen Jahre (tiefes Unterkambrium). Das Gestein beinhaltet die ältesten Spurenfossilien, die in Deutschland zu finden sind. Es handelt sich um senkrecht zur Schichtung stehende, 2-4 mm dicke Wohnröhren eines wattwurmartigen Tieres.","9,23"
SM 2012-1586,424556,https://sammlung-online.stadtmuseum.de/index.html?objektid=424556,SM-2012-1586,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1586.jpg,Skolithos-Sandstein,"H: 5,60 cm, B: 8,60 cm, T: 7,60 cm","5,6","8,6","7,6",cm,Sandstein,Q13085,550-540,Kambrium,Q79064,"Kalmarsund, Schweden oder Schonen, Schweden","56.694934, 15.581683",,,"Klein Waabs, Eckernförder Bucht","54.532927, 9.987563",,,"Der Skolithos-Sandstein ist ein Geschiebe aus Schweden (Schonen und Kalmarsund), eventuell auch aus Estland. Sein Alter beträgt 550-540 Millionen Jahre (tiefes Unterkambrium). Das Gestein beinhaltet die ältesten Spurenfossilien, die in Deutschland zu finden sind. Es handelt sich um senkrecht zur Schichtung stehende, 2-4 mm dicke Wohnröhren eines wattwurmartigen Tieres. Auffallend sind an diesem Stück die wenigen, weit auseinander stehenden Röhren.","9,23"
SM 2012-1587,424557,https://sammlung-online.stadtmuseum.de/index.html?objektid=424557,SM-2012-1587,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1587.jpg,"Skolithos-Sandstein, quarzitisch","H: 8,20 cm, B: 10,00 cm, T: 6,00 cm","8,2",10,6,cm,Sandstein,Q13085,550-540,Kambrium,Q79064,"Kalmarsund, Schweden oder Schonen, Schweden","56.694934, 15.581683",,,Fläming,,Q821486,2926388,"Der Skolithos-Sandstein ist ein Geschiebe aus Schweden (Schonen und Kalmarsund), eventuell auch aus Estland. Sein Alter beträgt 550-540 Millionen Jahre (tiefes Unterkambrium). Das Gestein beinhaltet die ältesten Spurenfossilien, die in Deutschland zu finden sind. Es handelt sich um senkrecht zur Schichtung stehende, 2-4 mm dicke Wohnröhren eines wattwurmartigen Tieres.","9,23"
SM 2012-1588,424558,https://sammlung-online.stadtmuseum.de/index.html?objektid=424558,SM-2012-1588,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1588.jpg,Skolithos-Sandstein,"H: 10,40 cm, B: 26,30 cm, T: 14,20 cm","10,4","26,3","14,2",cm,Sandstein,Q13085,550-540,Kambrium,Q79064,"Kalmarsund, Schweden oder Schonen, Schweden","56.694934, 15.581683",,,Kiesgrube Bochow bei Damsdorf,"52.366170, 12.776859",,,"Der Skolithos-Sandstein ist ein Geschiebe aus Schweden (Schonen und Kalmarsund), eventuell auch aus Estland. Sein Alter beträgt 550-540 Millionen Jahre (tiefes Unterkambrium). Das Gestein beinhaltet die ältesten Spurenfossilien, die in Deutschland zu finden sind. Es handelt sich um senkrecht zur Schichtung stehende, 2-4 mm dicke Wohnröhren eines wattwurmartigen Tieres. Der Sandstein weist Eisenringe auf, die als rhythmische Ausfällung von Eisenoxiden entstanden sind. In diesem Stein sind die Röhren farblich nicht abgesetzt. Skolithos-Sandsteine mit violetten Röhren sind vermutlich noch älter (Eokambrium).","9,23"
SM 2012-1589,424559,https://sammlung-online.stadtmuseum.de/index.html?objektid=424559,SM-2012-1589,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1589.jpg,Skolithos-Sandstein,"H: 9,30 cm, B: 19,00 cm, T: 8,80 cm","9,3",19,"8,8",cm,Sandstein,Q13085,550-540,Kambrium,Q79064,"Kalmarsund, Schweden oder Schonen, Schweden","56.694934, 15.581683",,,"Brautrummel, Fläming",,,2944985,"Der Skolithos-Sandstein ist ein Geschiebe aus Schweden (Schonen und Kalmarsund), eventuell auch aus Estland. Sein Alter beträgt 550-540 Millionen Jahre (tiefes Unterkambrium). Das Gestein beinhaltet die ältesten Spurenfossilien, die in Deutschland zu finden sind. Es handelt sich um senkrecht zur Schichtung stehende, 2-4 mm dicke Wohnröhren eines wattwurmartigen Tieres. Der Sandstein weist Eisenringe auf, die als rhythmische Ausfällung von Eisenoxiden entstanden sind. In diesem Stein sind die Röhren farblich nicht abgesetzt. Skolithos-Sandsteine mit violetten Röhren sind vermutlich noch älter (Eokambrium).","9,23"
SM 2012-1590,424560,https://sammlung-online.stadtmuseum.de/index.html?objektid=424560,SM-2012-1590,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1590.jpg,Monocraterion-Sandstein,"H: 6,60 cm, B: 9,70 cm, T: 6,40 cm","6,6","9,7","6,4",cm,Sandstein,Q13085,540,Kambrium,Q79064,Schonen,,Q180756,,Stohl bei Eckernförde,"54.471044, 10.147925",,,"Der Monocraterion-Sandstein ist ein Geschiebe aus Schonen, Schweden. Sein Alter beträgt cirka 540 Millionen Jahre (Unterkambrium). Bei dem Spurenfossil Monocraterion tentaculum (TORELL, 1870) handelt es sich vermutlich um die Wohnröhren eines sedimentbewohnenden Wurmes. Im Gegensatz zum Spurenfossil Skolithos gruben sich die Tiere in den Sandboden ein und durchbrachen dabei die Schichtung, sodass die Schichtflächen nach unten abgebogen wurden. An der Gesteinsoberfläche erscheinen die Öffnungen als Trichter oder als zwei ineinander liegende Kreise (Trichter und Röhre).","9,23"
SM 2012-1591,424561,https://sammlung-online.stadtmuseum.de/index.html?objektid=424561,SM-2012-1591,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1591.jpg,Monocraterion-Sandstein,"H: 9,80 cm, B: 15,70 cm, T: 7,00 cm","9,8","15,7",7,cm,Sandstein,Q13085,540,Kambrium,Q79064,Schonen,,Q180756,,Berlin,,Q64,2950157,"Der Monocraterion-Sandstein ist ein Geschiebe aus Schonen, Schweden. Sein Alter beträgt cirka 540 Millionen Jahre (Unterkambrium). Bei dem Spurenfossil Monocraterion tentaculum (TORELL, 1870)handelt es sich vermutlich um die Wohnröhren eines sedimentbewohnenden Wurmes. Im Gegensatz zum Spurenfossil Skolithos gruben sich die Tiere in den Sandboden ein und durchbrachen dabei die Schichtung, sodass die Schichtflächen nach unten abgebogen wurden. An der Gesteinsoberfläche erscheinen die Öffnungen als Trichter oder als zwei ineinander liegende Kreise (Trichter und Röhre).","9,23"
